batch_size,embedding_size,num_heads,num_layers,total_num_parameters,OOM,build_time(ms)
2,768,2,32,423543552.0,no,430.7889938354492
3,768,2,32,423543552.0,no,371.8414306640625
4,768,2,32,423543552.0,no,453.0487060546875
5,768,2,32,423543552.0,no,374.0115165710449
1,1024,2,25,583846912.0,no,441.65682792663574
2,1024,2,25,583846912.0,no,370.01657485961914
3,1024,2,25,583846912.0,no,366.15991592407227
4,1024,2,25,583846912.0,no,430.5305480957031
5,1024,2,25,583846912.0,no,361.76538467407227
1,1024,2,26,596694016.0,no,427.68120765686035
2,1024,2,26,596694016.0,no,358.1359386444092
3,1024,2,26,596694016.0,no,428.21574211120605
4,1024,2,26,596694016.0,no,406.86798095703125
5,1024,2,26,596694016.0,no,377.52485275268555
1,1024,2,27,609541120.0,no,453.56011390686035
2,1024,2,27,609541120.0,no,361.81187629699707
3,1024,2,27,609541120.0,no,421.9193458557129
4,1024,2,27,609541120.0,no,354.7215461730957
5,1024,2,27,609541120.0,no,419.33131217956543
1,1024,2,28,622388224.0,no,354.39562797546387
2,1024,2,28,622388224.0,no,356.9455146789551
3,1024,2,28,622388224.0,no,420.1469421386719
4,1024,2,28,622388224.0,no,354.41112518310547
5,1024,2,28,622388224.0,no,419.6515083312988
1,1024,2,29,635235328.0,no,354.8915386199951
2,1024,2,29,635235328.0,no,414.72721099853516
3,1024,2,29,635235328.0,no,365.891695022583
4,1024,2,29,635235328.0,no,373.03614616394043
5,1024,2,29,635235328.0,no,424.0715503692627
1,1024,2,30,648082432.0,no,359.03429985046387
2,1024,2,30,648082432.0,no,447.7348327636719
3,1024,2,30,648082432.0,no,355.9603691101074
4,1024,2,30,648082432.0,no,433.117151260376
5,1024,2,30,648082432.0,no,358.870267868042
1,1024,2,31,660929536.0,no,353.208065032959
2,1024,2,31,660929536.0,no,419.9063777923584
3,1024,2,31,660929536.0,no,355.56530952453613
4,1024,2,31,660929536.0,no,454.2431831359863
5,1024,2,31,660929536.0,no,403.15866470336914
1,1024,2,32,673776640.0,no,432.2841167449951
2,1024,2,32,673776640.0,no,408.7338447570801
3,1024,2,32,673776640.0,no,443.50504875183105
4,1024,2,32,673776640.0,no,371.4003562927246
5,1024,2,32,673776640.0,no,397.25255966186523
